!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
402.69,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1969,16
369.5,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1967,16
344.89,"Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1968,16
"322,200","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2015,16
"316,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2013,16
"303,400","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2014,16
"295,900","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2008,16
"282,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2011,16
"280,300","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2016,16
"274,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2012,16
"260,100","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2009,16
"257,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2010,16
"225,300","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2007,16
"185,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2006,16
"163,400","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2005,16
"137,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2004,16
"91,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2003,16
"69,400","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2002,16
"62,700","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2001,16
"55,100","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,2000,16
"50,100","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1997,16
"47,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1996,16
"46,600","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1998,16
"46,300","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1999,16
"46,000","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1995,16
"40,100","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1993,16
"39,500","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1994,16
"39,500","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1992,16
"30,943.29","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1991,16
"19,273.29","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1990,16
"13,740.60","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1989,16
"10,687.80","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1988,16
"6,598.00","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1985,16
"6,476.10","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1987,16
"6,370.99","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1984,16
"6,159.00","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1983,16
"6,033.99","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1986,16
"5,779.99","Historical data has been sourced from 'Ministry Of Finance, Arab Republic Of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,"GlobalData analysis based on information from Ministry Of Finance, Arab Republic Of Egypt","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.",2018,Exports of goods and services (LCU), ,Currency (EGP) - Millions,1981,16
